Banco,Sector,Tipo,Resumen,Descripción,Ref2024,Ref2025,Alerta
HSBC,Power,M,"El banco actualizó su año base a 2023, renovó sus escenarios climáticos e integró el financiamiento sostenible, ajustando sus metas de intensidad de emisiones para 2030.","El banco ha actualizado el año base de 2019 con una intensidad de 513.4 tCO2e/GWh a 2023 con 295 tCO2e/GWh para reflejar mejoras en la disponibilidad de datos y metodologías. 
El banco ha sustituido el escenario IEA NZE 2021 por los escenarios IEA NZE y APS 2024.
El banco ha incorporado la consideración del financiamiento ""use of proceeds"" y el financiamiento para clientes puramente ""verdes"", lo que ha impulsado recálculos en este sector.
El objetivo de intensidad para 2030 cambió de una meta fija de 138 tCO2e/GWh a un rango de 195-270 tCO2e/GWh.",pag 52,pag 42,
HSBC,Steel,M,"El sector del aluminio se segregó del grupo, actualizándose el año de referencia a 2023 y ajustando los objetivos de intensidad de emisiones para 2030.","El sector de aluminio ha sido segregado del grupo, pasando de ""Iron, steel and aluminium"" exclusivamente a ""Iron and steel"" por su baja materialidad. El año de referencia se trasladó de 2019 a 2023, con una base ajustada de 1,73 tCO2e/t acero. El objetivo de intensidad para 2030 cambió de 1,05 tCO2e/t metal a un rango de 1,29-1,52 tCO2e/t acero.",pag 56,pag 46,
HSBC,Automotive,M,"Se actualizó el año base a 2023 y se ajustó el objetivo de intensidad para 2030, sustituyendo la meta fija por un rango de valores.","El año base se actualizó de 2019 a 2023 con un valor de 152,8 tCO2e/mill vkm. El objetivo de intensidad para 2030 pasó de una meta fija de 66 tCO2e/mill vkm a un rango de 65,5-95,3 tCO2e/mill vkm.",pag 54,pag 47,
HSBC,Cement,M,Transición a un rango objetivo menos exigente y modificación del año base.,"El objetivo puntual de 0.46 tCO2e/t de cemento se transformó en un rango de 0.47-0.56 tCO2e/t para 2030, estableciendo 2023 como el nuevo año base con 0.59 tCO2e/t y registrando un ligero aumento de intensidad en 2024 hasta 0.61 tCO2e/t.",pag 52,pag 42,
HSBC,Shipping,N,No reportan este sector,"En ninguno de los informes se reporta el sector ""Shipping"".",-,-,
HSBC,Aluminium,D/M,Se ha eliminado el sector del aluminio del marco de objetivos de alineación debido a su baja representatividad en el balance.,"El sector aluminio ha sido eliminado del marco de objetivos de alineación por su escaso peso en el balance. Anteriormente formaba parte del grupo ""Iron, steel and aluminium"".",pag 54,pag 44,
HSBC,Coal,M,Se recalculó el año base 2020 a 3.4 Mt CO2e y se registró una reducción del 94% en emisiones financiadas hacia 2024 debido a menor actividad crediticia.,"El valor de emisiones de referencia para el año base 2020 se ha recalculado de 4.7 Mt CO2e a 3.4 Mt CO2e debido a una refinación en el alcance y en el marco de exclusiones.
El nivel de emisiones financiadas experimentó una reducción drástica de 1.44 Mt CO2e correspondientes al cierre de 2022 a 0.22 Mt CO2e en 2024, logrando un 94% de caída frente al nuevo año base a causa de la menor financiación de proyectos específicos y bajos niveles de disposición de préstamos.",pag 52,pag 42,
HSBC,CRE,S,La información solicitada no se encuentra disponible en los registros actuales.,No reportado en ningún informe.,,,
HSBC,RRE,S,La información no se encuentra disponible en los informes consultados.,No reportado en ningún informe.,,,
HSBC,Agriculture,S,La información no se encuentra disponible en los informes consultados.,No reportado en ningún informe.,,,
NatWest,Oil&Gas,M/F,Se ha reajustado el año baseline y el target 2030,"Se han introducido cambios sustanciales en la gestión climática del sector de petróleo y gas. En primer lugar, se ha establecido un nuevo objetivo para 2030: reducir en un 13 % la intensidad de las emisiones físicas de las actividades de financiación de producción. Este cambio viene acompañado de una actualización en la métrica, estableciendo el 2023 como nuevo año base con un valor de 69,8 tCO₂e/TJ (frente al informe de 2024, que fijaba la base en 2019 con 4,1 tCO₂e/TJ y un objetivo de reducción del 76 %).

A nivel estructural, las posiciones de este sector se han agrupado junto a la generación eléctrica y el carbón bajo el marco «E&S Energy Supply Sectors RAC». Asimismo, se ha ampliado el alcance del reporte de emisiones financiadas de Alcance 3 (Scope 3), pasando de cubrir solo a los clientes upstream a abarcar la totalidad del sector. Por último, se ha creado un nuevo foro de supervisión obligatorio para todas las financiaciones superiores a 50 millones de libras, centrado en evaluar minuciosamente las calificaciones ESG y la planificación de la transición de los clientes",pag 26,"pag 25, 29, 36",
NatWest,Power,M,"La metodología de reporte transitó hacia objetivos basados en la actividad a nivel de cartera, integrando el sector energético en el nuevo marco E&S Energy Supply Sectors RAC.","La metodología de reporte ha evolucionado de objetivos basados únicamente en el sector a ""objetivos basados en la actividad a nivel de cartera"", advirtiendo el informe que los gráficos actuales no deben compararse directamente con los del año anterior. El sector se ha integrado dentro del nuevo marco ""E&S Energy Supply Sectors RAC"".",pag 22,"pag 29
pag 25",
NatWest,Steel,D,NatWest retiró sus objetivos climáticos para hierro y acero validados por SBTi en favor de un marco metodológico propio.,"NatWest contaba con objetivos validados por SBTi para hierro y acero con emisiones de 0,1 MtCO2e, los cuales han desaparecido en la actualización de objetivos de 2025. El banco ha retirado sus objetivos validados por SBTi, optando por un marco de diseño propio no validado por dicha iniciativa.",pag 25,"pag 6, 24",
NatWest,Automotive,M,El transporte por carretera se reclasificó en el pilar de Movilidad y la intensidad de emisiones de fabricación disminuyó en 2024.,"El transporte por carretera se ha reclasificado bajo el pilar estratégico de ""Movilidad"" (Mobility), con un enfoque renovado en el apoyo a la electrificación de flotas de clientes. La intensidad de las emisiones de fabricación descendió de 230,5 gCO2e/v-km en 2023 a 185,9 gCO2e/v-km en 2024.",pag 35,pag 18,
NatWest,Cement,D,"El banco excluyó el sector del cemento, previamente validado por SBTi, de su nuevo marco de objetivos por actividad.","El banco reportaba objetivos validados por SBTi para el cemento con emisiones de 0,03 MtCO2e, pero este sector fue excluido del nuevo marco de objetivos por actividad.",pag 25,pag 6,
NatWest,Aviation,F,"El banco estableció un nuevo objetivo de reducción del 19% para 2030 en el sector de aviación, partiendo de una base de 2023.","El banco no disponía de objetivos para aviación en 2024 e incorporó un objetivo de reducción del 19% para 2030 con base 2023 para operadores y arrendadores de aeronaves. La intensidad física reportada es de 907,6 tCO2e/Mn RTK.",pag 42,pag 24,
NatWest,Aluminium,M,El banco eliminó el sector de su reporte de objetivos por actividad e integró la meta de aluminio en el cuadro de mando de industrias difíciles de descarbonizar.,"El banco reportaba emisiones de 0,002 MtCO2e con objetivos validados por SBTi, pero el sector ha sido eliminado del reporte de objetivos por actividad. El objetivo para el aluminio se ha integrado dentro del cuadro de mando de ""Hard-to-Abate Industries""cuando anteriormente se reportaba como una métrica de monitoreo independiente.",pag 25,pag 6,
NatWest,Shipping,F,El banco implementó el reporte del Annual Efficiency Ratio para buques y se adhirió a la trayectoria de descarbonización de la OMI con un objetivo de alineación para 2030.,"Se ha introducido por primera vez el reporte de la métrica de ""Annual Efficiency Ratio"" (AER) para la cartera de financiación de buques, sustituyendo el seguimiento cualitativo del año anterior. El banco ha formalizado su adhesión a la trayectoria de descarbonización reforzada de la Organización Marítima Internacional (OMI) de 2023, estableciendo un objetivo de alineación de cartera para 2030.",pag 35,pag 27,
NatWest,CRE,F,"Se amplió la cobertura de la cartera de CRE a logística y almacenamiento, logrando una reducción en la intensidad de emisiones a 29 kgCO2e/m2 e incorporando objetivos de certificación energética.","La cobertura de la cartera de CRE se ha ampliado para incluir activos de logística y almacenamiento, aumentando el volumen total de activos bajo medición en un 12%. La intensidad de emisiones ha pasado de 32 kgCO2e/m2 a 29 kgCO2e/m2 por la mejora de la red eléctrica y la rotación hacia edificios más eficientes.
El objetivo ha evolucionado de una medición basada exclusivamente en la intensidad de carbono operativa a un objetivo dual que incluye el porcentaje de activos con certificados de eficiencia energética (EPC) de grado A a C.
",pag 28,pag 24,
NatWest,RRE,F,El banco actualizó su meta de reducción de emisiones para 2030 y registró un incremento en la proporción de hipotecas con certificación energética eficiente.,"El banco sustituyó su objetivo de reducción del 49% para 2030 con base 2019 por un objetivo del 26% para 2030 con base 2023. El porcentaje de hipotecas con EPC C o superior aumentó del 46,3% al 48,8% en 2025.",pag 25,pag 24,
NatWest,Coal,F,"Se completó la salida de clientes de carbón en el Reino Unido en octubre de 2024, manteniendo el objetivo de salida global para 2030","Se ha completado el compromiso de salida de clientes con producción de carbón en el Reino Unido, infraestructuras relacionadas y generación térmica con fecha límite 1 de octubre de 2024, manteniendo el objetivo de salida global total para 2030.",pag 30,pag 11,
NatWest,Agriculture,F,"El sector agrícola prioriza ahora el potencial de descarbonización, estableciendo una meta de reducción del 9% para 2030 con base en 2023.","El enfoque en agricultura ha pasado de una medición general de emisiones a una priorización de ""potencial de descarbonización e impacto"".
El objetivo de reducción para 2030 se ha fijado en un 9% con base 2023, eliminando el objetivo previo del 26% con base 2019. ",pag 25,pag 24,
Barclays,Oil&Gas,D,La reducción de emisiones absolutas empeoró del -45% al -41% debido al mayor uso de crédito por clientes y la volatilidad del valor de empresa.,"La reducción acumulada de emisiones absolutas frente al año base ha empeorado, pasando de un -45% con 41,1 MtCO2e a un -41% con 43,7 MtCO2e, incremento atribuido a una mayor utilización de líneas de crédito por parte de los clientes y a la volatilidad del valor de empresa (EVIC) en el cálculo.",pag 84,pag 89,
Barclays,Power,M,El banco unificó su metodología bajo el escenario IEA NZE 2050 y actualizó la intensidad física del año base de 311 a 316 kgCO2e/MWh.,"El banco ha eliminado el escenario IEA SDS utilizado previamente, manteniendo únicamente el escenario IEA NZE 2050 para este sector. La intensidad física del año base (2020) se ha recalculado de 311 kgCO2e/MWh a 316 kgCO2e/MWh.",pag 84,pag 89,
Barclays,Steel,S,No se reportan modificaciones relevantes en el contenido analizado.,Sin cambios significativos.,pag 84,pag 89,
Barclays,Automotive,S,No se reportan modificaciones relevantes en el contenido analizado.,Sin cambios significativos.,pag 84,pag 89,
Barclays,Cement,D,"Las emisiones financiadas del sector aumentaron de 0,8 a 1,5 MtCO2e por la incorporación de un nuevo cliente y la alta sensibilidad de la pequeña cartera a variaciones crediticias.","Las emisiones absolutas financiadas del sector casi se han duplicado, subiendo de 0,8 MtCO2e a 1,5 MtCO2e, debido a la inclusión de un nuevo cliente y al impacto desproporcionado que cualquier variación crediticia tiene en una cartera compuesta por muy pocos clientes.",pag 84,pag 89,
Barclays,Aviation,S,No se registran variaciones de relevancia en el contenido.,Sin cambios significativos.,pag 84,pag 89,
Barclays,Aluminium,S,Indica que no se han producido modificaciones de relevancia en el periodo o categoría correspondiente.,Sin cambios significativos.,pag 84,pag 89,
Barclays,Shipping,S,No se reportan modificaciones de relevancia en la información proporcionada.,Sin cambios significativos.,pag 84,pag 89,
Barclays,CRE,D,Se ha realizado un ajuste a la baja en la intensidad física de emisiones del año base 2023.,"La intensidad física del año base (2023) se ha recalculado a la baja, pasando de 30,0 kgCO2e/m2 a 26,3 kgCO2e/m2.",pag 85,pag 91,
Barclays,RRE,M,Se redujo la intensidad física del año base 2023 para la cartera hipotecaria del Reino Unido debido a una mejora en la calidad de los datos y una revisión metodológica.,"La intensidad física del año base (2023) para la cartera hipotecaria del Reino Unido se ha reducido tras una revisión metodológica de 32,1 kgCO2e/m2 a 27,9 kgCO2e/m2, por mejora en la calidad de los datos.",pag 85,pag 91,
Barclays,Coal,S,La información solicitada no se encuentra disponible en los registros actuales.,No reportado en ningún informe.,,,
Barclays,Agriculture,S,No se presentan cambios significativos en el documento analizado.,Sin cambios significativos.,,,
Sabadell,Oil&Gas,D,"Las emisiones absolutas aumentaron a 5.277 Kt CO2e debido a nuevas disposiciones de crédito, aunque se mantienen dentro de los límites establecidos.","Las emisiones absolutas han sufrido un repunte hasta los 5.277 Kt CO2e, rompiendo la tendencia de descenso del año previo (4.820 Kt CO2e), un incremento que el banco justifica por nuevas disposiciones de crédito en empresas del sector, aunque recalca que se mantienen por debajo de la senda límite.",pag 168,pag 168 y 170,
Sabadell,Power,F,"La intensidad de carbono disminuyó a 40 Kg CO2e/MWh, superando el objetivo de 2030 gracias al impulso de renovables y mejoras en la cartera corporativa.","La intensidad física ha caído bruscamente hasta los 40 Kg CO2e/MWh, rebasando por debajo el rango objetivo de 45-85 establecido para 2030, una aceleración que el banco explica por la fuerte contribución de los project finance de energías renovables, la mejora en la intensidad de los clientes corporativos y los vencimientos/amortizaciones naturales de la cartera, frente a los 63 Kg CO2e/MWh reportados el año anterior.",pag 168,pag 168,
Sabadell,Steel,S,No se reportaron modificaciones de relevancia en el periodo.,Sin cambios significativos.,pag 168,pag 168,
Sabadell,Automotive,F,La intensidad física disminuyó de 220 a 183 gCO2e/vkm debido a una mayor exposición crediticia en empresas alineadas con los objetivos de descarbonización para 2030.,"La intensidad física ha registrado una caída pronunciada al pasar de los 220 gCO2e/vkm a los 183 gCO2e/vkm, una mejora sustancial que la entidad atribuye a la subida de exposición crediticia en grupos empresariales cuyas intensidades ya están alineadas con la senda de descarbonización a 2030.",pag 168,pag 168 y 172,
Sabadell,Cement,S,No se reportaron modificaciones de relevancia en el periodo indicado.,Sin cambios significativos.,pag 168,pag 168,
Sabadell,Aviation,S,No se registraron modificaciones de relevancia en el periodo informado.,Sin cambios significativos.,pag 168,pag 168,
Sabadell,Aluminium,D,"La intensidad física aumentó un 9,8% debido a cambios en la composición de la cartera de clientes, superando los niveles del año base.","La intensidad física ha sufrido un incremento atípico del 9,8%, elevándose hasta los 708 Kg CO2e/tn frente a los 645 Kg CO2e/tn del año base, desvío que el banco justifica por cambios en la composición de una cartera de clientes muy concentrada, tratándose de una métrica de seguimiento que no figuraba detallada en el informe previo.",pag 166,pag 168 y 174,
Sabadell,Shipping,M,La métrica Alignment Delta aumentó al +28% debido a un desfase temporal por el uso de datos de buques de 2023 para las estimaciones de 2024.,"La métrica de alineación Alignment Delta ha registrado un empeoramiento al subir hasta un +28% en comparación con el +25% del año base, una desviación al alza que el banco explica por un desfase temporal en los datos al no disponer de cifras de buques actualizadas para 2024 ya que para estimar el delta de 2024 se tuvieron que utilizar datos de buques de 2023.",pag 166,pag 168 y 175,
Sabadell,Coal,D,"El riesgo dispuesto se incrementó a 1,7 millones de euros debido a variaciones en una línea de factoring con vencimiento anterior a 2030.","El riesgo dispuesto ha sufrido un repunte brusco alcanzando 1,7 millones de euros, lo que contrasta fuertemente con la reducción hasta 0,1 millones del año anterior, justificado por las fluctuaciones en la disposición de una línea de factoring que vence antes de 2030.",pag 168,pag 168 y 171,
Sabadell,Agriculture,S,No se identifican variaciones de importancia en la información analizada.,Sin cambios significativos.,pag 168,pag 168,
Intesa Sanpaolo,Oil&Gas,F,El banco actualizó su benchmark al IEA Dataset 2025 y redujo su exposición y emisiones financiadas mediante la gestión de cartera.,"El banco ha actualizado su benchmark del IEA Net Zero by 2050 Scenario de 2021 a la versión IEA Dataset de 2025. La exposición dispuesta se redujo de 3.600 millones de euros a 3.100 millones de euros, lo que contribuyó a una reducción de las emisiones financiadas absolutas de 12.6 Mt CO2e a 10.9 Mt CO2e, apoyado por acciones efectivas de gestión de cartera.",,,
Intesa Sanpaolo,Power,M,Actualización del escenario IEA Net Zero Scenario Benchmark de la versión 2023 a la de 2025.,El banco ha sustituido el escenario IEA Net Zero Scenario Benchmark de la versión 2023 por la versión actualizada IEA Net Zero Scenario Benchmark de 2025.,,,
Intesa Sanpaolo,Steel,M,"El banco actualizó su escenario base de la IEA a la versión 2025, implementó un nuevo enfoque de financiación específica para el sector del hierro y el acero, y registró un incremento en su intensidad física de emisiones.","El banco actualizó su escenario base del IEA Dataset de 2024 a la versión de 2025, la cual presenta una trayectoria menos ambiciosa reflejando un despliegue tecnológico más lento en el sector.
En 2025, el banco introdujo un nuevo enfoque de financiación dedicada para el sector del hierro y el acero, contabilizando de manera distinta estas transacciones específicas en comparación con los préstamos corporativos generales.
La intensidad física aumentó de 0.82 tCO2/t de acero en 2024 a 0.90 tCO2/t en 2025 por la volatilidad propia de una industria difícil de abatir.",,,
Intesa Sanpaolo,Automotive,D,"Actualización del escenario de evaluación al IEA Dataset 2025 e incremento de la exposición dispuesta, resultando en un aumento de las emisiones financiadas absolutas de 1.0 a 1.1 Mt CO2e.","El escenario de evaluación se actualizó del IEA Dataset versión 2024 al IEA Dataset versión 2025. La exposición dispuesta aumentó de 1.300 millones de euros a 1.800 millones de euros, lo que elevó las emisiones financiadas absolutas de 1.0 Mt CO2e a 1.1 Mt CO2e.",,,
Intesa Sanpaolo,Cement,M​,Actualización del benchmark al IEA Dataset 2025 y reducción del 50% en las emisiones absolutas debido a fluctuaciones en la exposición con contrapartes.,"El benchmark utilizado se ha actualizado del IEA Net Zero de la versión 2023 al IEA Dataset de 2025. Las emisiones absolutas cayeron a la mitad, pasando de 0.6 Mt CO2e a 0.3 Mt CO2e por fluctuaciones en la exposición dispuesta entre contrapartes.",,,
Intesa Sanpaolo,Coal,F,"El banco completó en 2025 su salida del sector del carbón, reduciendo sus emisiones absolutas a cero y manteniendo únicamente una exposición residual mínima.","El banco confirmó haber alcanzado en 2025 su objetivo de eliminación (""phase-out"") de exposiciones al sector del carbón, reduciendo sus emisiones absolutas de 0.1 Mt CO2e en 2024 a 0.0 Mt CO2e en 2025 , manteniendo únicamente una cantidad marginal de 10 millones de euros atribuible a una exposición dudosa. ",,,
Intesa Sanpaolo,Aluminium,F,"Se registró una reducción significativa en la intensidad física y las emisiones absolutas de CO2e, impulsada por una menor exposición financiera en el sector.","La intensidad física experimentó una gran caída de 4.38 tCO2e/t en 2024 a 3.03 tCO2e/t en 2025, a la vez que las emisiones absolutas pasaron de 0.4 a 0.1 Mt CO2e, traccionado por un notable recorte a la mitad en la exposición financiera del sector.",,,
Intesa Sanpaolo,Agriculture,D,"Se registró un incremento en las emisiones absolutas del sector agrícola, las cuales se elevaron de 0.7 a 0.9 Mt CO2e.","Las emisiones absolutas en agricultura subieron, pasando de 0.7 a 0.9 Mt CO2e.",,,
Intesa Sanpaolo,RRE,F,ISP ajustó su escenario de referencia a un enfoque basado en la composición de su cartera y registró una reducción en sus emisiones financiadas de 2.0 a 1.8 Mt CO2e.,"El escenario de referencia pasó de utilizar el modelo estándar ""CRREM v2 1.5°C reduction pathway for Italy (2024)"" en 2024 a un enfoque más ajustado denominado ""CRREM 1.5°C reduction pathway for Italy adjusted on ISP’s portfolio composition (v2 2024)"" en 2025.
Las emisiones financiadas absolutas cayeron de 2.0 Mt CO2e en 2024 a 1.8 Mt CO2e en 2025 , impulsado por una mayor proporción de propiedades con calificaciones de rendimiento energético más altas.",,,
Intesa Sanpaolo,CRE,S,No se identificaron modificaciones de relevancia en el periodo reportado.,Sin cambios significativos.,,,
Nordea,Oil&Gas,F,"El sector registró una reducción de emisiones del 99,6% debido a la reestructuración del portfolio y la finalización de relaciones comerciales en Europa.","Las emisiones absolutas reales del sector cayeron bruscamente de 0,7 MtCO2e a 0,01 MtCO2e, lo que representa una drástica reducción del 99,6% frente al año base por la reestructuración del portfolio y la salida de relaciones comerciales con varios clientes europeos.",pag 160,pag 132,
Nordea,Power,F,Reducción de emisiones absolutas de alcance 1 y 2 pese al crecimiento de la cartera crediticia.,"Las emisiones absolutas de alcance 1 y 2 experimentaron una caída significativa, pasando de 797.501 tCO2e a 361.603 tCO2e, a pesar de que el volumen de la cartera crediticia creció de 2.170 millones de euros a 2.429 millones de euros.",pag 164,pag 140,
Nordea,Steel,S,No se dispone de información reportada en los informes consultados.,No reportado en ningún informe.,,,
Nordea,Automotive,M,El banco ajustó al alza su intensidad de emisiones del año base 2022 debido a mejoras metodológicas y de datos.,"El banco ha recalculado el año base (2022) de intensidad de emisiones, pasando de 113 gCO2e/km  a 114 gCO2e/km por una evolución en la metodología y mejoras en la calidad de los datos.",pag 160,pag 132,
Nordea,Cement,S,La información no se encuentra consignada en ninguno de los informes consultados.,No reportado en ningún informe.,,,
Nordea,Aviation,S,Se indica la ausencia de información en la totalidad de los informes disponibles.,No reportado en ningún informe.,,,
Nordea,Aluminium,S,Indica que la información no ha sido incluida en los reportes disponibles.,No reportado en ningún informe.,,,
Nordea,Shipping,S,Reducción de la intensidad de emisiones sectoriales manteniendo el objetivo de disminución del 30% para 2030.,"La intensidad de emisiones reales del sector ha disminuido de 7,4 gCO2/dwt-nm a 7,0 gCO2/dwt-nm, manteniendo inalterado su objetivo de reducción del 30% para 2030.",pag 160,pag 132,
Nordea,CRE,M,La reducción significativa en la intensidad y volumen de emisiones reportadas se debe a mejoras metodológicas en la calidad de los datos de eficiencia energética.,"La intensidad de emisiones reportada se redujo a menos de la mitad, pasando de 28 kgCO2e/m2 a 13 kgCO2e/m2, y las emisiones absolutas cayeron de 420.212 tCO2e a 199.444 tCO2e, a pesar de que la exposición del portfolio aumentó. Esta inconsistencia se explica por mejoras metodológicas en la calidad de los datos de certificados de eficiencia energética (EPC).",pag 167,pag 143,
Nordea,RRE,M,La línea base de 2019 se ajustó a la baja debido a mejoras en la calidad de los datos y el uso de nuevas etiquetas de eficiencia energética.,"Se ha producido un ajuste significativo de la línea base de 2019, cuya intensidad disminuyó de 17,4 kgCO2e/m2 a 12,2 kgCO2e/m2 por actualizaciones masivas en la calidad de los datos y el uso de nueva información de etiquetas de eficiencia energética (EPC).",pag 160,pag 132,
Nordea,Coal,S,No se reportaron modificaciones de relevancia en el periodo.,Sin cambios significativos.,,,
Nordea,Agriculture,D,"Se recalcularon los datos de intensidad del año base 2021, lo que transformó la reducción previamente reportada en un incremento interanual del 1,4% respecto al valor ajustado.","La intensidad del año base de 2021 experimentó un recálculo drástico, cayendo de 758 tCO2e/EURm a 363 tCO2e/EURm. Este cambio ha provocado que el dato real de intensidad actual (368 tCO2e/EURm) muestre ahora un incremento interanual del 1,4% respecto al año base ajustado, en lugar de la reducción previamente reportada.",pag 160,pag 132,
Caixabank,Oil&Gas,F,Caída acelerada superando el objetivo a 2030,"Aunque el objetivo de reducción para 2030 se mantiene invariable, el informe de 2025 consolida una bajada de las emisiones absolutas hasta los 4,9 MtCO2e frente a los 5,6 MtCO2e publicados previamente en 2024, logrando superar ampliamente y con antelación el hito final de 6,99 MtCO2e debido a la volatilidad de la exposición dispuesta .",pag 245,pag 287,
Caixabank,Power,F/M,Discrepancia en dato histórico y superación anticipada del objetivo,"Se evidencia una alteración metodológica al cambiar el dato de 2022 de 116 kgCO2e/MWh (informe 2024) a 118 kgCO2e/MWh (informe 2025) , a la vez que se reporta una fuerte mejora al caer en 2025 hasta los 79 kgCO2e/MWh, superando así el objetivo final de 95 kgCO2e/MWh marcado para 2030",pag 243,"pag 283, 286",
Caixabank,Steel,N,Sin cambios significativos,"El sector mantiene su objetivo de reducción de entre un 10% y 20% para 2030 en ambos reportes, reflejando una evolución favorable de la métrica hacia los 991 kgCO2e/t en 2025 sin que se detecten discrepancias en los valores históricos previamente informados .",pag 248,pag 289,
Caixabank,Automotive,D/M,Discrepancia de reporte y retroceso severo de la métrica,"El documento de 2025 modifica retroactivamente el dato de 2023 a 148 gCO2/vkm en contraste con los 146 gCO2/vkm señalados en 2024, y reporta un grave empeoramiento en 2025 al escalar a 163,9 gCO2/vkm, superando incluso su año base debido al impacto de la flexibilización de los objetivos europeos del sector automovilístico",pag 246,"pag 283, 288",
Caixabank,Cement,N,Plan de monitorización del dector Cemento,"Ambos informes confirman de manera idéntica la decisión de no fijar objetivos de descarbonización para esta cartera por su baja materialidad, manteniéndola bajo un plan de monitorización estricto sin variaciones metodológicas ni numéricas significativas.",pag 256,pag 295,
Caixabank,Aviation,N,Sin cambios significativos,"Se sostiene el objetivo de reducción del 30% a 2030 y el alcance sobre aerolíneas en los dos ejercicios, evidenciando una senda de descarbonización favorable y consistente que no arroja cambios numéricos anómalos ni alteraciones en su año base .",pag 254,pag 293,
Caixabank,Shipping,N,Sin cambios significativos,"Las características del objetivo de convergencia al 0% para 2030 de la métrica Alignment Delta permanecen inalteradas entre los informes de 2024 y 2025, siguiendo los tiempos de publicación de los Principios de Poseidón sin inconsistencias advertidas.",pag 253,pag 294,
Caixabank,CRE,D,Empeoramiento de la métrica por actualización de datos proxy,"A pesar de que la meta a 2030 se conserva intacta, el informe de 2025 reporta un aumento de la intensidad hasta los 21 kgCO2e/m2 respecto a los 20,1 kgCO2e/m2 mostrados en 2024, superando su año base a causa de una actualización de los proxies utilizados que afecta negativamente al desempeño.",pag 250,pag 291,
Caixabank,RRE,N,Sin cambios significativos,"El enfoque de la métrica y el objetivo de reducción del 19% se consolidan en ambos informes sin discrepancias, reflejando una estabilización en 2025 tras el descenso logrado anteriormente gracias a la integración de certificados reales de eficiencia energética.",pag 252,pag 292,
Caixabank,Coal,N,Sin cambios significativos,"Se confirma el objetivo inamovible de salida total (phase-out) de la financiación al carbón térmico para 2030, y aunque se aprecian ligeras variaciones operativas en la exposición, no hay modificaciones metodológicas ni estratégicas respecto a 2024.",pag 249,pag 290,
Caixabank,Aluminium,N,"Sin cambios significativos, el sector Aluminio no tiene fijado un objetivo climático","Se ratifica en el reporte más reciente la estrategia estipulada en 2024 de posponer la fijación de un objetivo climático debido a que su exposición no alcanza el umbral de materialidad del 1%, continuando con el modelo de monitorización mensual sin alteraciones.",pag 256,pag 295,
Caixabank,Agriculture,N,"Sin cambios significativos, el sector Agricultura no tiene fijado un objetivo climático cuantitativo","En ambos documentos corporativos se renuncia a instaurar una métrica cuantitativa por la falta de madurez metodológica, optando por mantener sin variación su meta cualitativa enfocada en el aumento del conocimiento y diálogo sectorial.",pag 255,pag 295,
Deutsche Bank,Oil&Gas,F/M,Reducción de las emisiones financiadas absolutas e impacto por la exclusión de contingentes.,"Las emisiones financiadas de alcance 3 disminuyeron de las 19.2 MtCO2/y reportadas para 2024 en el informe 2024 a 17.6 MtCO2/y en el informe 2025, una reducción explicada principalmente por la gestión activa del portafolio y por la exclusión de los compromisos de emisión de contingentes del perímetro, lo que redujo el dato restado de 2024 en 1.6 MtCO2/y.","pag 270,271","pag 290,291,293",
Deutsche Bank,Power,F/M,"Recalibración a la baja del año base, objetivos 2030 e intensidades debido a mejoras metodológicas.","La intensidad de emisiones del sector disminuyó notablemente de los 312 kgCO2e/MWh reportados para el cierre de 2024 en el informe 2024 a 195 kgCO2e/MWh en el informe 2025, tras aplicar una recalibración metodológica en el año base 2021 de 396 kgCO2e/MWh a 367 kgCO2e/MWh y en el objetivo de 2030 de 124 kgCO2e/MWh a 114 kgCO2e/MWh por la exclusión de contingentes y una captura más precisa de entidades pequeñas.","pag 270,271","pag 290,291,294",
Deutsche Bank,Steel,N,Sin cambios significativos,"La intensidad física de emisiones de la cartera de acero se mantuvo prácticamente constante al pasar de 1,234 kgCO2e/t de acero en el informe 2024 a 1,231 kgCO2e/t de acero en el informe 2025, confirmando la ausencia de variaciones materiales en el desempeño del sector.",pag 271,"pag 290,296",
Deutsche Bank,Automotive,F,Progreso continuo en la reducción de la intensidad física de las emisiones de los fabricantes.,"La intensidad de emisiones de alcance 3 del segmento de vehículos ligeros descendió de los 162 gCO2/vkm reportados para 2024 en el informe 2024 a 153 gCO2/vkm en el informe 2025, consolidando un progreso del 20% en comparación con la línea base de 190 gCO2/vkm debido al avance en la transición de los clientes y la gestión activa del banco.",pag 271,"pag 290,295",
Deutsche Bank,Cement,D/M,"Recalibración del año base y metas, manteniendo una tendencia superior a la trayectoria de descarbonización.","Aunque la intensidad física disminuyó de los 781 kgCO2e/t registrados para 2024 en el informe 2024 a 749 kgCO2e/t en el informe 2025 gracias a un cliente de baja intensidad, el portfolio se mantiene un 11% por encima del año base 2022 (recalibrado a la baja de 731 kgCO2e/t a 678 kgCO2e/t junto con la meta 2030 de 520 kgCO2e/t a 483 kgCO2e/t por la exclusión de contingentes), evidenciando las dificultades de descarbonización de este sector.","pag 270,271","pag 290,291,298",
