Banco,Orden,Icon,Título,Cuerpo,es_intro
Akbank,3,alert,Salida de la Net Zero Banking Alliance (NZBA) en 2025,"El informe 2024 destaca la adhesión a la NZBA en 2024 como un hito clave. Akbank abandona la NZBA un año después de unirse, aunque afirma seguir los principios de la alianza y alinearse con las directrices GFANZ. Este retroceso formal en compromisos colectivos de net zero merece seguimiento.",FALSE
Akbank,4,info,Lanzamiento del Green Transformation Score: de 122 a 516 empresas evaluadas,"El informe 2025 detalla el lanzamiento del Green Transformation Score como herramienta de evaluación de la performance de transformación verde de los clientes, aumentando el número total de empresas evaluadas de 122 a 516, con incrementos especialmente notables en acero (de 20 a 212 empresas), real estate (de 0 a 112) y energía (de 0 a 80). Esta herramienta se integra ya en los procesos crediticios al nivel del Consejo de Administración, lo que supone un avance significativo en la gobernanza de la cartera.",FALSE
Akbank,5,warn,"Desaparición de evaluaciones individuales en aluminio, transporte, agricultura y oil & gas","El informe 2024 reportaba evaluaciones individuales de clientes para aluminio (11 empresas), transporte (14), agricultura (3) y oil & gas (10), realizadas bajo los principios NZBA. El informe 2025 no incluye ninguna empresa evaluada en estos cuatro sectores, al centrarse el Green Transformation Score en los 'sectores objetivo'. Esta reducción de cobertura sectorial supone una pérdida de visibilidad —aunque sea de naturaleza metodológica— sobre segmentos relevantes de la cartera.",FALSE
Akbank,6,info,Ampliación y detalle del compromiso de salida del carbón: tres categorías y seis principios de just transition,"El informe 2025 amplía sustancialmente el marco de Coal Phase-Out respecto al informe 2024: estructura la salida en tres categorías de actividades —plantas termoeléctricas y mineras de carbón térmico, mineras de carbón metalúrgico, y toda la cadena de valor del carbón incluido el carbón para calefacción— con diferentes plazos y hojas de ruta, e incorpora seis principios explícitos de just transition (enfoque basado en derechos, toma de decisiones participativa, cadena de suministro, evaluación de impacto, acceso a la información, I+D). Además, distingue por primera vez el carbón metalúrgico del térmico, con relevancia directa para el sector acero.",FALSE
Commerzbank,0,-,-,"La evolución general muestra un claro retroceso en la ambición climática de las políticas sectoriales de combustibles fósiles y una flexibilización de los objetivos inmobiliarios hacia trayectorias de 1.7°C. Estructuralmente, el banco ha empeorado sus métricas de intensidad en los sectores de acero y automoción debido al aumento de financiación a clientes intensivos, aunque ha mejorado la calidad de sus datos reales. El volumen de emisiones financiadas totales se ha incrementado significativamente un 24%, reflejando la estrategia de crecimiento del grupo",TRUE
Commerzbank,1,alert,Postergación del fin del carbón y eliminación de planes de transición,"En el informe 2025, Commerzbank revela una pérdida severa de ambición al retrasar el abandono definitivo del carbón al año 2038 en concordancia con los planes políticos gubernamentales. Adicionalmente, se ha eliminado por completo el requisito previo que obligaba a los clientes de este sector a presentar un plan formal de transformación antes del cierre de 2025, debilitando los mecanismos de control e impacto de la cartera de préstamos.",FALSE
Commerzbank,2,warn,Flexibilización de objetivos sectoriales hacia escenarios de 1.7°C,"Debido al reconocimiento explícito de que sectores clave no logran seguir la trayectoria para limitar el calentamiento a 1.5°C, el banco ha creado metas de dirección complementarias menos estrictas alineadas a 1.7°C para aviación y el sector inmobiliario comercial. En el caso del portafolio hipotecario residencial, la meta original de reducción del 57% fue directamente descartada por considerarse poco realista, sustituyéndose por un objetivo del 40%.",FALSE
Commerzbank,3,warn,Incremento del 24% en el volumen de emisiones financiadas totales,El inventario de emisiones financiadas de Alcance 3 (Categoría 15) sufrió un repunte notable al pasar de aproximadamente 74 Mt CO2eq en el informe 2024 a 92.2 Mt CO2eq en el informe 2025. Este incremento bruto está justificado internamente por la estrategia de expansión comercial del banco (+15% en utilizaciones de líneas de crédito) y por la sustitución de datos estimados por datos reales reportados directamente por los clientes bajo la normativa CSRD.,FALSE
Commerzbank,4,warn,Modificación del método de la taxonomía y reajuste del Green Asset Ratio,"Commerzbank adoptó de manera anticipada los criterios de reporte simplificados de la Comisión Europea del 2025, lo que provocó una ruptura en la comparabilidad de las métricas de la UE con respecto al año previo. Al alinear el denominador del Green Asset Ratio (GAR) para excluir carteras que no pueden ser calificadas como sostenibles (como las PYMES), el ratio de stock de activos sostenibles mostró un salto artificial del 3.33% reportado en 2024 al 8.05% reflejado en 2025.",FALSE
Commerzbank,5,info,Sustitución del objetivo de €300bn por la tasa de préstamo sostenible,"Al inicio del ejercicio 2025, el banco dio por terminado y reemplazó su objetivo histórico de movilizar €300bn para productos financieros sostenibles, el cual registraba un avance acumulado de €237.4bn a finales de 2024 en el informe 2024. Como se describe en el informe 2025, el nuevo indicador estratégico de control es la ""sustainable loan ratio"", con la meta fija de asignar permanentemente más del 10% del nuevo negocio crediticio a proyectos o modelos sostenibles.",FALSE
JPMorgan Chase,0,-,-,"JPMorgan Chase muestra una tendencia mixta en su estrategia climática. Mientras que los sectores pesados tradicionales como energía y petróleo muestran reducciones estables en sus intensidades, industrias de transición clave como automoción y aluminio experimentan claros deterioros en sus métricas.",TRUE
JPMorgan Chase,1,warn,Retroceso en Automoción por dinámicas de mercado,"La intensidad de carbono en la fabricación de vehículos aumentó del -23.3% al -20.3% con respecto al año base, debido a la desaceleración global en la adopción de automóviles eléctricos, lo que representa un impacto directo externo sobre el progreso de la cartera del banco",FALSE
JPMorgan Chase,2,alert,Incremento de emisiones en Aluminio,"El portfolio de aluminio registró un severo empeoramiento en su intensidad de carbono, escalando desde un +2.2% en el informe previo hasta un +10.4% por encima de la línea base debido a las necesidades de financiamiento de clientes en mercados emergentes con redes eléctricas altamente intensivas en carbono.",FALSE
JPMorgan Chase,3,alert,Reajuste metodológico doble en Transporte Marítimo,"Por segundo año consecutivo, la entidad revisó la línea base de Shipping (de 11.4 a 10.9 gCO2/t-nm), reduciendo en consecuencia la ambición de la meta de reducción para 2030 del -26% al -23%, lo que dificulta la comparabilidad histórica del sector.",FALSE
JPMorgan Chase,4,warn,Riesgo de Inteligencia Artificial en metas de Electricidad,"A pesar de reducir la intensidad eléctrica en un 27.5%, el banco incorporó una advertencia explícita sobre cómo el aumento de la demanda energética de los centros de datos dedicados a la inteligencia artificial pondrá en riesgo el cumplimiento futuro de los objetivos climáticos sectoriales",FALSE
Morgan Stanley,0,-,-,"Morgan Stanley ha ejecutado un cambio estratégico radical en la gestión de su cartera crediticia hacia la descarbonización. La sustitución de las métricas de intensidad financiera por rangos de intensidad física y la actualización del año base al 2022 reflejan una búsqueda de alineación directa con el desempeño real de la industria física. Además, la expansión de los sectores cubiertos incrementa sustancialmente el perímetro de control de las emisiones financiadas de la firma.",TRUE
Morgan Stanley,1,warn,Transición metodológica general e invalidez de comparación con 2019,"En el informe de 2024, el banco redefinió sus objetivos de emisiones financiadas para el sector de energía, generación eléctrica y automoción hacia la intensidad física (unidades de producción real), descartando por completo el marco previo fundamentado en la métrica FELI (emisiones por millón comprometido) y restableciendo en todos ellos el año base del 2019 al 2022, lo cual limita la comparabilidad temporal de la trayectoria histórica reportada previamente en el informe de 2023.",FALSE
Morgan Stanley,2,info,Incorporación de tres nuevos sectores de alta intensidad,"El informe de 2024 oficializa la ampliación de los objetivos de descarbonización de la cartera crediticia corporativa mediante la inclusión de tres nuevos sectores de difícil reducción: aviación, productos químicos y minería, asignándoles objetivos de reducción física para 2030 sobre una base de referencia fijada en 2022.
Morgan Stanley opta por no establecer un objetivo de reducción de intensidad específico para el sector del carbón en sus tablas de métricas, gestionando este riesgo climático directamente a través de criterios de exclusión en su Declaración de Política Ambiental y Social (ESPS) y evaluando la reducción de capacidad instalada de carbón como un indicador de transición integrado dentro de las carteras de Power y Mining.",FALSE
Morgan Stanley,3,alert,Ajuste negativo y revisión a la baja del progreso de finanzas sostenibles,"El volumen de capital acumulado movilizado hacia el objetivo de finanzas sostenibles de un billón de dólares sufrió una disminución neta al pasar de más de 820 mil millones reportados en el informe de 2023 a más de 815 mil millones de dólares en el informe de 2024, debido a una deducción de 120 mil millones de dólares motivada por una revisión exhaustiva de transacciones históricas que opacó el progreso orgánico de 110 mil millones de dólares logrado durante el ejercicio 2024, conforme a lo explicitado en la página 9 del informe de 2024.",FALSE
Morgan Stanley,4,alert,Actualización del año base para las emisiones operativas,"Morgan Stanley modificó el año base de su inventario de emisiones operativas (Alcances 1, 2 y 3 corporativos), sustituyendo el año de referencia original 2012 por el año 2023 con el fin de reflejar una línea base más representativa que incorpore las adquisiciones recientes y no se encuentre distorsionada por los efectos de la pandemia global, tal como se justifica en las páginas 36 y 62 del informe de 2024.",FALSE
UBS,0,-,Evolución general de descarbonización,"La evolución general de UBS revela un progreso mixto en sus objetivos. Se observa una sólida reducción continua en sectores intensivos como Power y un avance favorecido metodológicamente en Real Estate por la integración solar; sin embargo, en sectores difíciles de abatir como el acero y el transporte marítimo, el banco presenta retrocesos en la intensidad de emisiones y pérdida de transparencia documental. Estos movimientos reflejan el desafío en la gestión de exposición al consolidar carteras tras la absorción de Credit Suisse.",TRUE
UBS,1,alert,Retroceso en la intensidad de emisiones de hierro y acero,"El portfolio de hierro y acero experimentó un incremento en su intensidad de emisiones al pasar de una reducción del 20% en el informe 2024 a solo un 14% en el informe 2025, un retroceso que la entidad atribuye a un cambio en la composición interna de su cartera debido a la disminución de exposición a clientes de menor intensidad. ",FALSE
UBS,2,info,Incorporación del sector agrícola en el inventario de emisiones y recálculo de la línea base.,"El informe 2025 añade por primera vez la medición de las emisiones financiadas e incluye la categoría de agricultura dentro del alcance general de emisiones, recalculando los datos de 2023 que previamente se habían omitido debido a restricciones de datos de proveedores especializados.",FALSE
UBS,3,warn,Cambio metodológico por inclusión de impacto fotovoltaico en Real Estate,"A partir de 2024, el banco comenzó a integrar en sus cálculos de intensidad para el sector inmobiliario suizo el impacto de los sistemas fotovoltaicos instalados en los tejados de las propiedades financiadas, alterando la medición de las trayectorias de carbono reportadas en comparación con el periodo previo. Estas prácticas alteran las líneas base presentadas en 2024 e impiden una comparabilidad ""like-for-like"".",FALSE
UBS,4,alert,Omisión de métricas cuantitativas directas en transporte marítimo,"El informe 2025 prescinde de la publicación directa de la tabla de desviaciones climáticas y puntuaciones de alineamiento del portafolio marítimo bajo los Principios de Poseidón que sí se desglosaba de forma transparente en el ejercicio anterior, limitando la comparabilidad inmediata de la información dentro del documento principal",FALSE
UBS,5,info,Nueva definición corporativa y criterios para las Finanzas de Transición,"El informe 2025 introduce un hito estructural crítico: el banco ha desarrollado una definición explícita de ""finanzas de transición"" (transition finance) y ha creado criterios específicos para evaluar la credibilidad de los planes de transición de los clientes. Este fortalecimiento estratégico no estaba presente en 2024 y busca apoyar a las compañías en sectores carbono intensivos de forma estructurada, y no solamente financiar activos puramente ""verdes""",FALSE
UBS,6,warn,Cambio metodológico masivo en las Emisiones Facilitadas,"en el informe 2025, UBS ha ampliado el alcance de la medición de sus emisiones facilitadas (capital markets) más allá de los sectores carbono-intensivos para incluir a todos los sectores corporativos no financieros. Esto ha supuesto un cambio de perímetro enorme que ha obligado a recalcular al alza las cifras de 2023 que se mostraban en el informe 2024.",FALSE
Goldman Sachs,0,-,Evolución general de descarbonización,"La evolución de la descarbonización de la cartera del banco muestra una tendencia mixta y dependiente del volumen de originación, destacando como debilidad principal su alcance severamente limitado al reportar métricas únicamente para 3 sectores (Power, Oil & Gas, Automotive). Esta falta de cobertura sectorial, significativamente inferior al estándar de reporte de sus pares competidores, impide evaluar con precisión el alineamiento real y la ambición climática del conjunto de su cartera global.",TRUE
Goldman Sachs,1,alert,Repunte brusco en la intensidad del sector Automotive,"Se observa un retroceso deficiente en la intensidad de emisiones del sector automotriz, que pasó de 112 gCO2e/km en 2022 a 149 gCO2e/km en 2023, lo cual el banco justifica por una menor actividad de suscripción con fabricantes de baterías para vehículos eléctricos respecto al año previo.",FALSE
Goldman Sachs,2,warn,Ligero retroceso en la métrica del sector Power,"El sector de generación de energía experimentó un leve retroceso en su senda hacia la descarbonización, con un aumento en la intensidad de emisiones de 259 kgCO2e/MWh en 2022 a 265 kgCO2e/MWh en 2023, aunque la cifra todavía se mantiene encaminada hacia el rango objetivo de 147-219 kgCO2e/MWh marcado para 2030",FALSE
Goldman Sachs,3,info,Consolidación de mejoras en el sector Oil & Gas,"El banco ha logrado mantener de manera estable las mejoras en el sector de Oil & Gas (alcances 1 a 3), consolidando la intensidad física en 67 gCO2e/MJ tanto para 2022 como para 2023, lo que representa una reducción frente a los 72 gCO2e/MJ del año base 2019.",FALSE
Goldman Sachs,4,warn,Sensibilidad de las métricas a las suscripciones,"El comportamiento de los datos, especialmente el fuerte aumento en las emisiones de Automotive por falta de suscripciones en el negocio de vehículos eléctricos, indica una vulnerabilidad metodológica donde las métricas reflejan más las fluctuaciones del volumen de originación financiera del banco que los esfuerzos de descarbonización reales de la economía subyacente.",FALSE
BBVA,0,-,Evolución general de descarbonización,"BBVA refleja una progresión sólida en la estructuración de su hoja de ruta 'Net Zero' entre 2024 y 2025, evidenciada por la expansión del perímetro hacia sectores clave como Aluminio y Aviación de carga. No obstante, el banco se enfrenta a retos de transparencia derivados de re-expresiones metodológicas en Oil & Gas y a una alarmante desviación en el cumplimiento de los objetivos de corto plazo en su cartera de Acero.",TRUE
BBVA,1,alert,Retroceso crítico y falta de transparencia en Acero,"Es imprescindible poner el foco en el incremento del 12% en la intensidad física del sector Acero reportado en 2025 (pág. 166) frente al año anterior (pág. 158). Esta subida brusca se presenta sin una explicación contextual o macroeconómica en el informe, empañando la credibilidad del objetivo a 2030 para esta cartera pesada.",FALSE
BBVA,2,warn,Ruptura de serie histórica en Oil & Gas por inclusión del 'midstream',"La alteración de las emisiones absolutas del año base de la cartera de Oil & Gas (aumento de 0,6 MtCO2e) mejora la exhaustividad, pero rompe la comparabilidad de los avances reportados en 2024, constituyendo un riesgo metodológico al no haberse reformulado con claridad la ambición del porcentaje final de reducción.",FALSE
BBVA,3,warn,Imposibilidad de trazabilidad en el portfolio de Shipping,"La adopción de los Poseidon Principles v4 como marco rector en el informe de 2025 frente al modelo previo de 2024 dificulta el seguimiento continuado del riesgo de transición para los activos marítimos, exigiendo establecer una base puente que permita a los inversores medir la mejora real de los armadores.",FALSE
BBVA,4,info,Fortalecimiento mediante adelantamiento de compromisos en Carbón,"Representa una señal altamente positiva para el mercado la decisión de contraer en dos años (de 2040 a 2038) la meta de eliminación de la exposición global vinculada al carbón térmico, tal como se certifica en la actualización estratégica del informe 2025.",FALSE
